college_name,city,state,nirf_rank,nirf_score,field,domain
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,29,60.35,Engineering,"Technology/IT,Engineering"
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,29,57.23,Management,Business/Finance
"Manipal University, Jaipur",Jaipur,Rajasthan,29,52.23,Law,Law
Amity University,Gautam Budh Nagar,Uttar Pradesh,29,57.23,Management,Business/Finance
Central University of Rajasthan,Kishangarh,Rajasthan,29,57.65,Pharmacy,Healthcare
Lady Hardinge Medical College,New Delhi,Delhi,29,57.8,Medical,Healthcare
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,29,52.73,Architecture and Planning,"Creative/Design,Engineering"
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,30,57.07,Pharmacy,Healthcare
Army Institute of Law,Mohali,Punjab,30,52.11,Law,Law
"Chandigarh College of Architecture, Sector-12",Chandigarh,Chandigarh,30,52.6,Architecture and Planning,"Creative/Design,Engineering"
Armed Force Medical College,Pune,Maharashtra,30,57.68,Medical,Healthcare
Amity University,Gautam Budh Nagar,Uttar Pradesh,30,59.91,Engineering,"Technology/IT,Engineering"
Kerala University of Fisheries and Ocean Studies,Kochi,Kerala,30,47.84,Agriculture and Allied Sectors,Agriculture
Central Agricultural University,Imphal West,Manipur,31,47.53,Agriculture and Allied Sectors,Agriculture
Maharashtra National Law University Mumbai ,Mumbai,Maharashtra,31,51.7,Law,Law
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,31,56.98,Pharmacy,Healthcare
Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,31,52.59,Architecture and Planning,"Creative/Design,Engineering"
Indian Institute of Management Nagpur,Nagpur,Maharashtra,31,56.94,Management,Business/Finance
All India Institute of Medical Sciences Bhopal,Bhopal,Madhya Pradesh,31,57.66,Medical,Healthcare
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,31,59.86,Engineering,"Technology/IT,Engineering"
Chanakya National Law University,Patna,Bihar,31,51.7,Law,Law
Birla Institute of Technology,Ranchi,Jharkhand,32,56.75,Pharmacy,Healthcare
University College of Medical Sciences,Delhi,Delhi,32,57.65,Medical,Healthcare
National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,32,52.58,Architecture and Planning,"Creative/Design,Engineering"
MICA,Ahmedabad,Gujarat,32,56.62,Management,Business/Finance
Chandigarh University,Mohali,Punjab,32,59.82,Engineering,"Technology/IT,Engineering"
Tamil Nadu Dr.J.Jayalalithaa Fisheries University,Nagapattinam,Tamil Nadu,32,46.46,Agriculture and Allied Sectors,Agriculture
Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,33,46.41,Agriculture and Allied Sectors,Agriculture
Aligarh Muslim University,Aligarh,Uttar Pradesh,33,59.16,Engineering,"Technology/IT,Engineering"
Indian Institute of Management Bodh Gaya,Gaya,Bihar,33,56.27,Management,Business/Finance
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,33,51.68,Law,Law
"Manipal University, Jaipur",Jaipur,Rajasthan,33,51.6,Architecture and Planning,"Creative/Design,Engineering"
"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,33,57.12,Medical,Healthcare
National Institute Of Pharmaceutical Education And Research Hajipur,Hajipur,Bihar,33,56.4,Pharmacy,Healthcare
Great Lakes Institute of Management,Chennai,Tamil Nadu,34,56.15,Management,Business/Finance
"Maharashtra National Law University, Nagpur",Nagpur ,Maharashtra,34,51.43,Law,Law
Anna University,Chennai,Tamil Nadu,34,51.16,Architecture and Planning,"Creative/Design,Engineering"
Indian Institute of Technology Patna,Patna,Bihar,34,58.4,Engineering,"Technology/IT,Engineering"
